Y, X
575.2898732357554, 0.0
558.9850326711971, 1.99972531245708
570.5117616309462, 3.99945062491416
563.0527483010978, 5.999175937371239
562.8244158389964, 7.99890124982832
562.5568217459488, 9.9986265622854
630.3640878201777, 11.998351874742479
580.6904456351281, 13.99807718719956
572.8222686879247, 15.99780249965664
630.3640878201777, 17.99752781211372
582.5983468374282, 19.9972531245708
563.745424725562, 21.99697843702788
630.3640878201777, 23.996703749484958
557.5531129116571, 25.996429061942038
581.2590342394146, 27.99615437439912
596.3246785154208, 29.9958796868562
593.8846131730267, 31.99560499931328
595.9656664924203, 33.99533031177036
595.9740930475693, 35.99505562422744
572.8222686879247, 37.99478093668452
580.7841400940931, 39.9945062491416
596.1018165185573, 41.99423156159868
597.4549242028228, 43.99395687405576
568.7697412441191, 45.99368218651284
596.4646340825927, 47.993407498969916
630.3640878201777, 49.993132811426996
596.8416374803973, 51.992858123884076
536.9244641923681, 53.99258343634116
532.1834736016727, 55.99230874879824
594.7193348144276, 57.99203406125532
594.2602744380554, 59.9917593737124
560.0635128071093, 61.99148468616948
526.8525901725039, 63.99120999862656
551.2933546785155, 65.99093531108363
525.6381129116571, 67.99066062354072
526.7320700470466, 69.9903859359978
525.6203254051229, 71.99011124845488
526.6009317825406, 73.98983656091195
525.5053267119707, 75.98956187336904
507.05776267642443, 77.98928718582611
507.05776267642443, 79.9890124982832
523.8881076842656, 81.98873781074028
520.8368282801882, 83.98846312319736
519.6462375849451, 85.98818843565444
518.6829939884998, 87.98791374811152
524.1602208572922, 89.9876390605686
482.63412310507056, 91.98736437302568
507.05776267642443, 93.98708968548276
466.2841087297439, 95.98681499793983
425.51045478306327, 97.98654031039692
405.12362780972296, 99.98626562285399
429.6228515420806, 101.98599093531108
408.4617838473602, 103.98571624776815
407.0188382122322, 105.98544156022524
305.3040995818087, 107.98516687268231
307.93982749607954, 109.9848921851394
151.36711055933097, 111.98461749759647
288.5995412963931, 113.98434281005356
295.0470282279143, 115.98406812251064
242.87385912179832, 117.98379343496772
204.98929038159963, 119.9835187474248
196.95440015682175, 121.98324405988188
190.70517511761636, 123.98296937233896
255.08188186095146, 125.98269468479604
198.41217720857298, 127.98241999725312
184.32897412441196, 129.9821453097102
185.2989283847361, 131.98187062216726
174.47495033978055, 133.98159593462435
169.2500274438056, 135.98132124708144
168.83503659174073, 137.98104655953853
168.0539662833247, 139.9807718719956
163.724008102457, 141.98049718445267
155.68560115002617, 143.98022249690976
158.60270125457396, 145.97994780936685
169.12342524830115, 147.9796731218239
160.750402509148, 149.979398434281
159.72314427600634, 151.97912374673808
167.8451542080503, 153.97884905919517
167.06771955044428, 155.97857437165223
170.81062205959233, 157.97829968410932
218.49797569262944, 159.9780249965664
187.96994249869317, 161.97775030902346
239.65744641923686, 163.97747562148055
190.5182958703607, 165.97720093393764
234.54979874542607, 167.97692624639473
243.7279142707789, 169.97665155885178
243.7279142707789, 171.97637687130887
201.26296915838998, 173.97610218376596
243.7279142707789, 175.97582749622305
243.7279142707789, 177.9755528086801
254.8564884997387, 179.9752781211372
328.5537127548354, 181.97500343359428
261.06380162049146, 183.97472874605137
252.54987192890752, 185.97445405850843
282.48825013068483, 187.97417937096552
249.35887480397292, 189.9739046834226
252.56946027182443, 191.97362999587966
251.90916492420286, 193.97335530833675
279.95530580240467, 195.97308062079384
310.17198118139055, 197.97280593325092
377.82797699947724, 199.97253124570798
340.920803711448, 201.97225655816507
273.633248823837, 203.97198187062216
275.2717211186619, 205.97170718307925
368.96381860951385, 207.9714324955363
278.31977260846844, 209.9711578079934
282.4274294302144, 211.97088312045048
330.99632645060115, 213.97060843290757
387.0309814427601, 215.97033374536463
362.0445125457397, 217.97005905782171
401.9956939362259, 219.9697843702788
311.7179822268689, 221.9695096827359
392.4729900679562, 223.96923499519295
393.72503005750133, 225.96896030765004
400.8598418714062, 227.96868562010712
395.1980632514376, 229.96841093256418
395.71952430737065, 231.96813624502127
415.31704129639314, 233.96786155747836
398.72066910611613, 235.96758686993545
334.4744040773654, 237.9673121823925
395.89935311029797, 239.9670374948496
397.52982357553583, 241.96676280730668
390.62341217982225, 243.96648811976377
411.2772556194459, 245.96621343222083
395.71814819655, 247.9659387446779
417.4773993727131, 249.965664057135
400.663873497125, 251.9653893695921
415.2373627809723, 253.96511468204915
456.0906952430737, 255.96483999450624
424.8452326189232, 257.9645653069633
327.45764898065863, 259.9642906194204
345.65081939362267, 261.9640159318775
355.78988499738637, 263.9637412443345
423.6612336644015, 265.9634665567916
419.10559330893886, 267.9631918692487
391.89429299529536, 269.9629171817058
395.2006625718767, 271.9626424941629
425.51045478306327, 273.96236780661997
419.10559330893886, 275.96209311907705
425.51045478306327, 277.96181843153414
456.0906952430737, 279.9615437439912
425.51045478306327, 281.96126905644826
415.0453528489284, 283.96099436890535
416.5896549921589, 285.96071968136243
427.45304756926294, 287.9604449938195
425.51045478306327, 289.9601703062766
425.51045478306327, 291.9598956187337
425.51045478306327, 293.9596209311907
428.89223863042344, 295.9593462436478
456.0906952430737, 297.9590715561049
453.19802535284896, 299.958796868562
423.5646340825928, 301.9585221810191
425.0284082592787, 303.95824749347616
423.6759121798223, 305.95797280593325
450.3227861996864, 307.95769811839034
456.0906952430737, 309.95742343084737
456.0906952430737, 311.95714874330446
465.0885062728699, 313.95687405576155
480.87968374281235, 315.95659936821863
456.0906952430737, 317.9563246806757
456.0906952430737, 319.9560499931328
465.76794824882387, 321.9557753055899
478.6244079979091, 323.9555006180469
456.0906952430737, 325.955225930504
500.51698902247784, 327.9549512429611
